date,module_presenter,module_topic,fotw_presenter,fotw_topic,code_presenter,code_topic
2017-01-11,--,--,John Everett,lubridate (R),Erik Clarke,Sunbeam (Python)
2017-01-18,John Gregg,ODEs,--,--,Chunyu Zhao,Sunbeam (Python)
2017-01-25,Ceylan Tanes,ODEs,--,--,Jesse Connell,Deployment with ansible and monit
2017-02-01,Arwa Abbas,Visualization,--,--,Kevin McCormick,Cluster computing (Bash)
2017-02-08,Erik Clarke,Visualization,--,--,Kyle Bittinger,GNU Screen
2017-02-15,Chunyu Zhao,Monte Carlo methods,Brendan Kelly,,--,--
2017-02-22,Scott Sherrill-Mix,STAN tutorial,Simon Kelow,difflib (Python),--,--
2017-03-01,Scott Sherrill-Mix,STAN tutorial 2,--,--,Arwa Abbas,Viral genomics (R/Python/bash)
2017-03-08,John Everett,Testing,--,--,Kyle Bittinger,usedist (R)
2017-03-22,Kevin McCormick,Testing,--,--,Louis Taylor,
2017-04-05,Kyle Bittinger,Testing,--,--,Chris Nobles,Gene therapy
2017-04-12,Ceylan Tanes,Linear algebra,--,--,John Everett,Gene therapy
2017-04-19,Kyle Bittinger,Linear algebra,--,--,Scott Sherrill-Mix,
2017-04-26,John Everett,Regular expressions,--,--,Varun Aggarwalla,
2017-05-03,Jesse Connell,Regular expressions,--,--,Ceylan Tanes
